MSN,YYYYMM,Value,Column_Order,Description,Unit
CLNIBUS,199501,-0.14693,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199502,-0.137534,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199503,-0.160118,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199504,-0.165379,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199505,-0.196281,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199506,-0.191842,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199507,-0.156002,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199508,-0.181763,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199509,-0.180594,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199510,-0.176372,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199511,-0.177927,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199512,-0.210597,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199513,-2.081341,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199601,-0.163185,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199602,-0.160791,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199603,-0.16381,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199604,-0.184382,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199605,-0.18082,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199606,-0.195615,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199607,-0.181931,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199608,-0.176613,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199609,-0.196062,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199610,-0.194177,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199611,-0.190366,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199612,-0.177397,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199613,-2.165149,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199701,-0.181353,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199702,-0.143216,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199703,-0.167457,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199704,-0.161552,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199705,-0.174371,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199706,-0.162244,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199707,-0.159154,1,Coal Net Imports,Quadrillion Btu
